sbom_code,name,URL,path,dependencies,licenses,critical,high,medium,low,quality,format,version,successfully_processed,sbomqs_processed,osv_processed,cyclonedx_processed,sbom_utility_processed,pyspdxtools_processed,ntia_processed,cyclonedx_res,sbom_utility_res,pyspdxtools_res,ntia_res,language
facebook_sapling_release_958lxddr_sbom.spdx.json,sapling,https://github.com/facebook/sapling/releases/download/0.2.20241203-120811%2Ba2174689/sapling_0.2.20241203-120811%2Ba2174689.arm64_ventura.bottle.tar.gz,0.2.20241203-120811+a2174689/sbom.spdx.json,1,1,0,0,0,0,6.96,spdx_json,SPDX-2.3,True,True,False,False,True,True,False,False,True,,False,Rust
fission_fission_release_3uewuor4_fission_fission_release_v1.21.0.fission-bundle_1.21.0_linux_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission-bundle_1.21.0_linux_arm64.sbom.json,fission_fission_release_v1.21.0.fission-bundle_1.21.0_linux_arm64.sbom.json,128,1,0,3,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_cy67pnsz_fission_fission_release_v1.21.0.builder_1.21.0_linux_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/builder_1.21.0_linux_arm64.sbom.json,fission_fission_release_v1.21.0.builder_1.21.0_linux_arm64.sbom.json,89,1,0,0,2,0,7.31,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_1xys684z_fission_fission_release_v1.21.0.fission-bundle_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission-bundle_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.fission-bundle_1.21.0_linux_amd64.sbom.json,128,1,0,3,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_nu2yrmg4_fission_fission_release_v1.21.0.fetcher_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fetcher_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.fetcher_1.21.0_linux_amd64.sbom.json,107,1,0,1,2,0,7.32,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_ib2dva58_fission_fission_release_v1.21.0.fission_1.21.0_darwin_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission_1.21.0_darwin_amd64.sbom.json,fission_fission_release_v1.21.0.fission_1.21.0_darwin_amd64.sbom.json,146,1,0,2,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_zh1gxe0r_fission_fission_release_v1.21.0.fission.exe_1.21.0_windows_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission.exe_1.21.0_windows_amd64.sbom.json,fission_fission_release_v1.21.0.fission.exe_1.21.0_windows_amd64.sbom.json,147,1,0,2,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_czh9ddhu_fission_fission_release_v1.21.0.reporter_1.21.0_linux_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/reporter_1.21.0_linux_arm64.sbom.json,fission_fission_release_v1.21.0.reporter_1.21.0_linux_arm64.sbom.json,27,1,0,0,2,0,7.25,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_0pag6x39_fission_fission_release_v1.21.0.builder_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/builder_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.builder_1.21.0_linux_amd64.sbom.json,89,1,0,0,2,0,7.31,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_6ni5tn24_fission_fission_release_v1.21.0.pre-upgrade-checks_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/pre-upgrade-checks_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.pre-upgrade-checks_1.21.0_linux_amd64.sbom.json,82,1,0,1,2,0,7.3,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_h9y069xt_fission_fission_release_v1.21.0.fetcher_1.21.0_linux_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fetcher_1.21.0_linux_arm64.sbom.json,fission_fission_release_v1.21.0.fetcher_1.21.0_linux_arm64.sbom.json,107,1,0,1,2,0,7.32,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_29vtee5x_fission_fission_release_v1.21.0.fission_1.21.0_linux_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission_1.21.0_linux_arm64.sbom.json,fission_fission_release_v1.21.0.fission_1.21.0_linux_arm64.sbom.json,146,1,0,2,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_gkk4dia2_fission_fission_release_v1.21.0.fission_1.21.0_darwin_arm64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission_1.21.0_darwin_arm64.sbom.json,fission_fission_release_v1.21.0.fission_1.21.0_darwin_arm64.sbom.json,146,1,0,2,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_zr3ykabt_fission_fission_release_v1.21.0.fission_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/fission_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.fission_1.21.0_linux_amd64.sbom.json,146,1,0,2,2,0,7.33,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
fission_fission_release_jl42zv1h_fission_fission_release_v1.21.0.reporter_1.21.0_linux_amd64.sbom.json,fission,https://github.com/fission/fission/releases/download/v1.21.0/reporter_1.21.0_linux_amd64.sbom.json,fission_fission_release_v1.21.0.reporter_1.21.0_linux_amd64.sbom.json,27,1,0,0,2,0,7.25,spdx_json,SPDX-2.3,True,True,True,False,True,True,True,False,True,,False,Go
