id,project_name,url,dependency_count,licenses_count,critical_cves_count,high_cves_count,medium_cves_count,low_cves_count,sbomqs_rating,format,format_version,origin,tool,creation_time
63,clojure,https://hub.docker.com/_/clojure,331,92,0,0,0,3,7.35,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:39:45Z
64,flink,https://hub.docker.com/_/flink,211,122,0,0,0,0,8.73,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:40:20Z
65,flink:latest,https://hub.docker.com/_/flink,183,119,0,0,0,0,8.27,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:40:25Z
66,flink,https://hub.docker.com/_/flink,266,75,0,0,0,0,7.57,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:40:06Z
67,elixir,https://hub.docker.com/_/elixir,581,278,0,0,0,0,8.57,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:41:05Z
68,elixir:latest,https://hub.docker.com/_/elixir,581,283,0,0,0,0,8.37,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:41:06Z
69,elixir,https://hub.docker.com/_/elixir,805,181,0,0,0,0,7.53,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:40:49Z
70,redis,https://hub.docker.com/_/redis,111,110,0,0,0,4,8.64,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:57:46Z
71,redis:latest,https://hub.docker.com/_/redis,109,117,0,0,0,4,8.38,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:57:46Z
72,redis,https://hub.docker.com/_/redis,153,63,0,0,0,4,7.44,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:57:42Z
73,golang,https://hub.docker.com/_/golang,248,177,0,0,0,0,8.51,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:58:12Z
74,golang:latest,https://hub.docker.com/_/golang,209,185,0,0,0,0,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:58:12Z
75,golang,https://hub.docker.com/_/golang,302,100,0,0,0,0,7.46,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:58:03Z
76,jetty,https://hub.docker.com/_/jetty,302,128,0,0,0,0,8.38,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:58:28Z
77,jetty:latest,https://hub.docker.com/_/jetty,301,113,0,0,0,0,7.93,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:58:29Z
78,jetty,https://hub.docker.com/_/jetty,343,76,0,0,0,0,7.29,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:58:23Z
79,nats-streaming,https://hub.docker.com/_/nats-streaming,28,1,0,0,0,0,8.17,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:58:36Z
80,nats-streaming:latest,https://hub.docker.com/_/nats-streaming,27,0,0,0,0,0,6.52,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:58:37Z
81,nats-streaming,https://hub.docker.com/_/nats-streaming,28,0,0,0,0,0,6.14,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:58:35Z
82,centos,https://hub.docker.com/_/centos,184,51,0,0,0,1,8.31,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:58:50Z
83,centos:latest,https://hub.docker.com/_/centos,182,38,0,0,0,0,8.95,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:58:51Z
84,centos,https://hub.docker.com/_/centos,215,48,0,0,0,1,7.2,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:58:47Z
85,haxe,https://hub.docker.com/_/haxe,177,135,0,0,0,0,8.62,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:59:07Z
86,haxe:latest,https://hub.docker.com/_/haxe,177,125,0,0,0,0,8.44,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:59:07Z
87,haxe,https://hub.docker.com/_/haxe,248,84,0,0,0,0,7.5,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:59:02Z
88,phpmyadmin,https://hub.docker.com/_/phpmyadmin,260,184,0,0,0,1,8.6,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T05:59:26Z
89,phpmyadmin:latest,https://hub.docker.com/_/phpmyadmin,260,200,0,0,0,1,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T05:59:26Z
90,phpmyadmin,https://hub.docker.com/_/phpmyadmin,333,102,0,0,0,1,7.62,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T05:59:20Z
91,maven,https://hub.docker.com/_/maven,192,128,0,0,0,0,8.61,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:15:11Z
92,maven:latest,https://hub.docker.com/_/maven,193,119,0,0,0,0,8.2,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:15:12Z
93,maven,https://hub.docker.com/_/maven,241,74,0,0,0,0,7.49,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:15:06Z
94,kapacitor,https://hub.docker.com/_/kapacitor,392,109,0,0,0,3,8.32,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:15:25Z
95,kapacitor:latest,https://hub.docker.com/_/kapacitor,137,106,0,0,0,0,8.47,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:15:26Z
96,kapacitor,https://hub.docker.com/_/kapacitor,401,67,0,0,0,3,7.25,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:15:22Z
97,composer,https://hub.docker.com/_/composer,81,37,0,0,0,0,8.96,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:15:36Z
98,composer:latest,https://hub.docker.com/_/composer,80,21,0,0,0,0,8.76,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:15:37Z
99,composer,https://hub.docker.com/_/composer,99,31,0,0,0,0,8.52,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:15:34Z
100,perl,https://hub.docker.com/_/perl,417,269,0,0,0,0,8.58,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:16:06Z
101,perl:latest,https://hub.docker.com/_/perl,415,286,0,0,0,0,8.33,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:16:13Z
102,perl,https://hub.docker.com/_/perl,550,139,0,0,0,0,7.53,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:15:55Z
103,odoo,https://hub.docker.com/_/odoo,863,231,0,0,0,33,8.7,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:17:17Z
104,odoo:latest,https://hub.docker.com/_/odoo,475,221,0,0,0,0,8.32,spdx,SPDX-2.3,docker,trivy-0.47.0,2023-12-07T06:17:30Z
105,odoo,https://hub.docker.com/_/odoo,1040,190,0,0,0,33,7.9,spdx,SPDX-2.3,docker,docker-scout-1.2.1,2023-12-07T06:16:45Z
106,arangodb,https://hub.docker.com/_/arangodb,644,23,0,0,0,4,8.98,spdx,SPDX-2.3,docker,syft-0.97.1,2023-12-07T06:17:50Z
